Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
JINDALSTEL,EQ,2017-05-15,112.1,112.9,114.85,112.3,114.7,114.2,113.84,5730419,652322564.2,22627,1197305,20.89,5,2017,114.20000000000002,0.0,Slight or No change
JINDALSTEL,EQ,2017-05-16,114.2,115.15,115.75,113.5,113.75,114.1,114.53,5083003,582139920.45,18359,1081322,21.27,5,2017,114.15299357594662,-0.0008756567425569628,Slight or No change
JINDALSTEL,EQ,2017-05-17,114.1,114.5,118.2,114.2,116.35,116.4,116.62,14511700,1692387134.85,49346,4838996,33.35,5,2017,115.4405641994538,0.020157756354075573,Slight or No change
JINDALSTEL,EQ,2017-05-18,116.4,114.7,115.8,112.6,112.95,113.3,113.83,6952070,791375394.45,23427,1894268,27.25,5,2017,114.97951566232899,-0.02663230240549841,Slight or No change
JINDALSTEL,EQ,2017-05-19,113.3,113.8,115.5,109.3,112.7,112.15,112.6,7976703,898192980.5,30938,1806216,22.64,5,2017,114.41881945958274,-0.01015004413062659,Slight or No change
JINDALSTEL,EQ,2017-05-22,112.15,113.45,115.8,111.95,114.45,113.75,114.08,7699472,878360429.45,28263,1833565,23.81,5,2017,114.31143269981439,0.014266607222469752,Slight or No change
JINDALSTEL,EQ,2017-05-23,113.75,114.85,116.4,102.7,107.9,108.15,108.85,39016051,4246776833.6,130143,5521903,14.15,5,2017,111.5473027564701,-0.04923076923076919,Slight or No change
JINDALSTEL,EQ,2017-05-24,108.15,109.9,113.9,108.9,110.8,111.1,111.54,18762989,2092734445.75,62087,4301240,22.92,5,2017,111.46792561054626,0.027276930189551463,Slight or No change
JINDALSTEL,EQ,2017-05-25,111.1,112.0,119.5,111.3,118.3,118.5,114.97,15373769,1767578343.0,49672,4319815,28.1,5,2017,112.36060912863768,0.06660666066606669,Slight or No change
JINDALSTEL,EQ,2017-05-26,118.5,119.0,125.75,119.0,124.9,125.0,122.99,18661412,2295108131.9,77863,5187820,27.8,5,2017,114.04818837254314,0.05485232067510548,Slight or No change
JINDALSTEL,EQ,2017-05-29,125.0,127.0,129.4,119.2,120.85,120.45,124.14,13503169,1676268057.1,50212,2301166,17.04,5,2017,114.61218861631903,-0.03639999999999999,Slight or No change
JINDALSTEL,EQ,2017-05-30,120.45,120.0,124.45,117.1,123.2,123.5,121.22,11227909,1361032689.65,41227,1790333,15.95,5,2017,115.21882902168946,0.025321710253217056,Slight or No change
JINDALSTEL,EQ,2017-05-31,123.5,123.0,124.3,121.2,121.4,121.75,122.13,5671848,692710148.85,22699,1243076,21.92,5,2017,115.43651543621712,-0.014170040485829927,Slight or No change
JINDALSTEL,EQ,2017-06-01,121.75,121.75,121.9,118.4,120.8,120.3,119.85,5848472,700946491.9,21483,503627,8.61,6,2017,115.59811137504224,-0.011909650924024628,Slight or No change
JINDALSTEL,EQ,2017-06-02,120.3,121.2,123.45,120.6,121.95,121.85,122.08,6266169,764964056.25,24158,819893,13.08,6,2017,115.81302405234261,0.012884455527847116,Slight or No change
JINDALSTEL,EQ,2017-06-05,121.85,121.9,123.7,121.05,121.4,121.8,122.28,4337415,530365416.85,17213,730390,16.84,6,2017,115.9521712052299,-0.0004103405826836326,Slight or No change
JINDALSTEL,EQ,2017-06-06,121.8,121.9,122.4,117.5,117.65,118.2,119.53,5601738,669550866.65,19990,1155665,20.63,6,2017,116.01767669778788,-0.029556650246305383,Slight or No change
JINDALSTEL,EQ,2017-06-07,118.2,118.3,119.75,117.7,119.35,119.1,118.83,3348433,397910541.9,12896,599854,17.91,6,2017,116.07044966097806,0.0076142131979695105,Slight or No change
JINDALSTEL,EQ,2017-06-08,119.1,120.25,125.45,120.25,121.7,121.85,123.36,14349883,1770238935.35,55345,1810823,12.62,6,2017,116.46552795019367,0.023089840470193135,Slight or No change
JINDALSTEL,EQ,2017-06-09,121.85,122.85,123.6,121.2,122.95,123.2,122.47,5958974,729813326.75,25344,910831,15.29,6,2017,116.65141940282469,0.01107919573245808,Slight or No change
JINDALSTEL,EQ,2017-06-12,123.2,123.75,124.8,121.15,121.95,122.1,122.89,7078435,869844724.45,24636,1419559,20.05,6,2017,116.82439849275586,-0.008928571428571508,Slight or No change
JINDALSTEL,EQ,2017-06-13,122.1,122.6,123.9,121.5,123.0,122.95,122.82,4559238,559984256.85,16618,834539,18.3,6,2017,116.94714886480976,0.006961506961506991,Slight or No change
JINDALSTEL,EQ,2017-06-14,122.95,122.4,122.9,120.0,122.9,122.4,121.6,5171829,628902088.75,21495,558643,10.8,6,2017,117.068344792087,-0.004473363155754306,Slight or No change
